title,combined_features,id
The Amazing Spider-Man,Action Adventure Fantasy loss of father vigilante serum marvel comic scientific experiment Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott Marc Webb,1930
Robin Hood,Action Adventure robin hood archer knight sherwood forest bow and arrow Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong Ridley Scott,20662
The Hobbit: The Desolation of Smaug,Adventure Fantasy elves dwarves orcs hobbit dragon Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish Peter Jackson,57158
The Golden Compass,Adventure Fantasy england compass experiment lordship uncle Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green Chris Weitz,2268
King Kong,Adventure Drama Action film business screenplay show business film making film producer Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks Peter Jackson,254
Titanic,Drama Romance Thriller shipwreck iceberg ship panic titanic Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates James Cameron,597
Captain America: Civil War,Adventure Action Science Fiction civil war war marvel comic sequel superhero Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie Anthony Russo,271110
Battleship,Thriller Action Adventure Science Fiction fight u.s. navy mind reading hong kong soccer Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano Peter Berg,44833
Jurassic World,Action Adventure Science Fiction Thriller monster dna tyrannosaurus rex velociraptor island Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson Colin Trevorrow,135397
Skyfall,Action Adventure Thriller spy secret agent sociopath killer art gallery Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris Sam Mendes,37724
Spider-Man 2,Action Adventure Fantasy dual identity love of one's life pizza boy marvel comic sequel Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris Sam Raimi,558
Iron Man 3,Action Adventure Science Fiction terrorist war on terror tennessee malibu marvel comic Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall Shane Black,68721
Alice in Wonderland,Family Fantasy Adventure based on novel fictional place queen fantasy alice in wonderland Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover Tim Burton,12155
X-Men: The Last Stand,Adventure Action Science Fiction Thriller mutant marvel comic based on comic book superhuman beast Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen Brett Ratner,36668
Monsters University,Animation Family monster dormitory games animation best friend Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston Dan Scanlon,62211
Transformers: Revenge of the Fallen,Science Fiction Action Adventure egypt sun chaos symbol artifact Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson Michael Bay,8373
Transformers: Age of Extinction,Science Fiction Action Adventure sequel alien transformers giant robot robot Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor Michael Bay,91314
Oz: The Great and Powerful,Fantasy Adventure Family circus witch magic hope illusion James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff Sam Raimi,68728
The Amazing Spider-Man 2,Action Adventure Fantasy obsession marvel comic sequel based on comic book electrocution Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott Marc Webb,102382
TRON: Legacy,Adventure Action Science Fiction artificial intelligence secret identity computer program dystopia computer Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta Joseph Kosinski,20526
Cars 2,Animation Family Adventure Comedy car race sequel comedy anthropomorphism best friend Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro John Lasseter,49013
Green Lantern,Adventure Action Thriller Science Fiction dc comics transformation superhero alien alien infection Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong Martin Campbell,44912
Toy Story 3,Animation Family Comedy hostage college toy barbie animation Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton Lee Unkrich,10193
Terminator Salvation,Action Science Fiction Thriller saving the world artificial intelligence prophecy san francisco cyborg Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard McG,534
Furious 7,Action car race speed revenge suspense car Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson James Wan,168259
World War Z,Action Drama Horror Science Fiction Thriller dystopia apocalypse zombie nuclear weapons multiple perspectives Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale Marc Forster,72190
X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction 1970s mutant time travel marvel comic based on comic book Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry Bryan Singer,127585
Star Trek Into Darkness,Action Adventure Science Fiction spacecraft friendship sequel futuristic space Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg J.J. Abrams,54138
Jack the Giant Slayer,Action Family Fantasy based on fairy tale giant Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane Bryan Singer,81005
The Great Gatsby,Drama Romance based on novel infidelity obsession hope 3d Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki Baz Luhrmann,64682
Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance persia sandstorm brother against brother armageddon regent Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint Mike Newell,9543
Pacific Rim,Action Science Fiction Adventure dystopia giant robot giant monster apocalypse imax Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman Guillermo del Toro,68726
Transformers: Dark of the Moon,Action Science Fiction Adventure moon spacecraft traitor bodyguard alien planet Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel Michael Bay,38356
Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action saving the world riddle whip treasure mexico city Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen Steven Spielberg,217
The Good Dinosaur,Adventure Animation Family tyrannosaurus rex friends alternate history dinosaur fear Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla Peter Sohn,105864
Brave,Animation Adventure Comedy Family Action scotland rebel bravery kingdom archer Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd Brenda Chapman,62177
Star Trek Beyond,Action Adventure Science Fiction sequel stranded hatred space opera Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana Justin Lin,188927
WALL·E,Animation Family romantic comedy Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger Andrew Stanton,10681
Rush Hour 3,Action Comedy Crime Thriller ambassador Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal Brett Ratner,5174
2012,Action Adventure Science Fiction civilization natural disaster end of the world disaster apocalypse John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt Roland Emmerich,14161
A Christmas Carol,Animation Drama holiday based on novel victorian england money christmas eve Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan Robert Zemeckis,17979
Jupiter Ascending,Science Fiction Fantasy Action Adventure jupiter space woman director 3d interspecies romance Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth Lilly Wachowski,76757
The Legend of Tarzan,Action Adventure africa feral child tarzan jungle animal attack Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou David Yates,258489
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy saving the world witch based on novel brother sister relationship self sacrifice William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson Andrew Adamson,411
X-Men: Apocalypse,Science Fiction mutant supernatural powers marvel comic superhero based on comic book James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac Bryan Singer,246655
The Dark Knight,Drama Action Crime Thriller dc comics crime fighter secret identity scarecrow sadism Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal Christopher Nolan,155
Up,Animation Comedy Family Adventure age difference central and south america balloon animation floating in the air Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo Pete Docter,14160
Monsters vs Aliens,Animation Family Adventure Science Fiction alien giant robot duringcreditsstinger Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland Conrad Vernon,15512
Iron Man,Action Science Fiction Adventure middle east arms dealer malibu marvel comic superhero Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow Jon Favreau,1726
Hugo,Adventure Drama Family library clock film director key toy Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone Martin Scorsese,44826
Wild Wild West,Action Adventure Comedy Science Fiction Western steampunk based on tv series steam locomotive drag Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh Barry Sonnenfeld,8487
The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy others Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford Rob Cohen,1735
Suicide Squad,Action Adventure Crime Fantasy Science Fiction dc comics shared universe anti hero secret mission villain Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto David Ayer,297761
Evan Almighty,Fantasy Comedy Family father son relationship daily life married couple support father Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins Tom Shadyac,2698
Edge of Tomorrow,Action Science Fiction deja vu time warp restart dystopia war Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong Doug Liman,137113
Waterworld,Adventure Action ocean tattoo mutant water dystopia Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann Kevin Reynolds,9804
G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction terrorist secret hostage technology warhead Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt Stephen Sommers,14869
Inside Out,Drama Comedy Animation Family dream cartoon imaginary friend animation family Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black Pete Docter,150540
The Jungle Book,Family Adventure Drama Fantasy based on novel snake wolf elephant tiger Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson Jon Favreau,278927
Iron Man 2,Adventure Action Science Fiction malibu marvel comic superhero based on comic book revenge Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke Jon Favreau,10138
Snow White and the Huntsman,Adventure Fantasy Drama queen magic fairy tale immortality forest Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane Rupert Sanders,58595
Maleficent,Fantasy Adventure Action Family Romance fairy tale villain sleeping beauty dark fantasy based on fairy tale Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple Robert Stromberg,102651
Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller leader colony post-apocalyptic dystopia forest Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell Matt Reeves,119450
The Lovers,Action Adventure Science Fiction Romance others Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu Roland Joff\u00e9,79698
47 Ronin,Drama Action Adventure Fantasy japan suicide samurai based on true story samurai sword Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka Carl Rinsch,64686
Captain America: The Winter Soldier,Action Adventure Science Fiction washington d.c. future shield marvel comic superhero Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan Anthony Russo,100402
Shrek Forever After,Comedy Adventure Fantasy Animation Family ogre 3d Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews Mike Mitchell,10192
Tomorrowland,Adventure Family Mystery Science Fiction inventor apocalypse destiny imax dreamer Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie Brad Bird,158852
Big Hero 6,Adventure Family Animation Action Comedy brother brother relationship hero talent revenge best friend Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung Chris Williams,177572
Wreck-It Ralph,Family Animation Comedy Adventure support group product placement bullying racing arcade John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk Rich Moore,82690
The Polar Express,Adventure Animation Family Fantasy santa claus nerd faith gift bell Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen Robert Zemeckis,5255
Independence Day: Resurgence,Action Adventure Science Fiction alternate history alien invasion Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward Roland Emmerich,47933
How to Train Your Dragon,Fantasy Adventure Animation Family flying blacksmith arena island night Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill Chris Sanders,10191
Terminator 3: Rise of the Machines,Action Thriller Science Fiction saving the world artificial intelligence man vs machine cyborg killer robot Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews Jonathan Mostow,296
Guardians of the Galaxy,Action Science Fiction Adventure marvel comic spaceship space outer space orphan Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper James Gunn,118340
Interstellar,Adventure Drama Science Fiction saving the world artificial intelligence father son relationship single parent nasa Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck Christopher Nolan,157336
Inception,Action Thriller Science Fiction Mystery Adventure loss of lover dream kidnapping sleep subconsciousness Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe Christopher Nolan,27205
Shin Godzilla,Action Adventure Drama Horror Science Fiction monster godzilla giant monster destruction kaiju Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru Hideaki Anno,315011
The Hobbit: An Unexpected Journey,Adventure Fantasy Action riddle elves dwarves orcs middle-earth (tolkien) Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett Peter Jackson,49051
The Fast and the Furious,Action Crime Thriller street gang car race undercover auto-tuning los angeles Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune Rob Cohen,9799
The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance diary navy funeral tea travel Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning David Fincher,4922
X-Men: First Class,Action Science Fiction Adventure cia mutant mine marvel comic superhero James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne Matthew Vaughn,49538
The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction revolution strong woman dystopia game of death 3d Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks Francis Lawrence,131634
The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama witch fire wolf fountain magic Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer Jon Turteltaub,27022
Poseidon,Adventure Action Drama Thriller new year's eve fire drowning cataclysm loss of father Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum Wolfgang Petersen,503
Alice Through the Looking Glass,Fantasy based on novel clock queen sequel alice in wonderland Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman James Bobin,241259
Shrek the Third,Fantasy Adventure Animation Comedy Family ambush sadness stage liberation of prisoners island Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas Chris Miller,810
Warcraft,Action Adventure Fantasy video game elves orcs magic chase Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper Duncan Jones,68735
Terminator Genisys,Science Fiction Action Thriller Adventure saving the world artificial intelligence cyborg killer robot future Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons Alan Taylor,87101
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy based on novel magic good vs evil king narnia Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel Michael Apted,10140
Pearl Harbor,History Romance War nurse patriotism hawaii world war ii pilot Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight Michael Bay,676
Transformers,Adventure Science Fiction Action destroy transformation alien based on toy transformers Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson Michael Bay,1858
Alexander,War History Action Adventure Drama aristotle egypt greece persia elephant Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers Oliver Stone,1966
Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery prophecy witch loss of lover magic cutting the cord Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes David Yates,675
Harry Potter and the Goblet of Fire,Adventure Fantasy Family magic dying and death broom sorcerer's apprentice school of witchcraft Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon Mike Newell,674
Hancock,Fantasy Action flying alcohol love of one's life forbidden love lovers Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan Peter Berg,8960
I Am Legend,Drama Horror Action Thriller Science Fiction saving the world lost civilisation post-apocalyptic dystopia matter of life and death Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith Francis Lawrence,6479
Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy london england father son relationship chocolate factory worker based on novel Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter Tim Burton,118
Ratatouille,Animation Comedy Family Fantasy paris brother brother relationship expensive restaurant river cook Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn Jan Pinkava,2062
Batman Begins,Action Crime Drama himalaya martial arts dc comics crime fighter secret identity Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman Christopher Nolan,272
Madagascar: Escape 2 Africa,Family Animation africa jealousy dance hunger lion Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer Eric Darnell,10527
Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams Shawn Levy,18360
X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction corruption mutant boxer army marvel comic Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds Gavin Hood,2080
The Matrix Revolutions,Adventure Action Thriller Science Fiction saving the world artificial intelligence man vs machine flying philosophy Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice Lilly Wachowski,605
Frozen,Animation Adventure Family queen musical princess betrayal snowman Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana Chris Buck,109445
The Matrix Reloaded,Adventure Action Thriller Science Fiction saving the world artificial intelligence man vs machine martial arts kung fu Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis Lilly Wachowski,604
Thor: The Dark World,Action Adventure Fantasy marvel comic superhero based on comic book hostile takeover norse mythology Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston Alan Taylor,76338
Mad Max: Fury Road,Action Adventure Science Fiction Thriller future chase post-apocalyptic dystopia australia Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman George Miller,76341
Angels & Demons,Thriller Mystery rome vatican based on novel symbolism christian Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino Ron Howard,13448
Thor,Adventure Fantasy Action new mexico banishment shield marvel comic hammer Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd Kenneth Branagh,10195
Bolt,Animation Family Adventure Comedy hamster kids and family animal cat vs dog duringcreditsstinger John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell Chris Williams,13053
G-Force,Fantasy Action Adventure Family Comedy dyr duringcreditsstinger Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi Hoyt Yeatman,19585
Wrath of the Titans,Adventure underworld hades mythology greek mythology zeus Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell Jonathan Liebesman,57165
Dark Shadows,Comedy Fantasy witch imprisonment vampire curse fish out of water Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller Tim Burton,62213
Mission: Impossible - Rogue Nation,Action Adventure Thriller london england spy austria villain sequel Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames Christopher McQuarrie,177677
The Wolfman,Drama Horror Thriller father son relationship victorian england remake rural setting werewolf Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes Joe Johnston,7978
Bee Movie,Family Animation Adventure Comedy factory worker tennis flower florist flower shop Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton Steve Hickner,5559
Kung Fu Panda 2,Animation Family martial arts hope fleet panda mission Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan Jennifer Yuh Nelson,49444
The Last Airbender,Action Adventure Family Fantasy fire ice war ship prince kingdom Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub M. Night Shyamalan,10196
Mission: Impossible III,Adventure Action Thriller berlin cia vatican white house secret identity Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers J.J. Abrams,956
White House Down,Action Drama Thriller usa president conspiracy secret service the white house Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins Roland Emmerich,117251
Mars Needs Moms,Adventure Animation Family boy alien rescue martian alien abduction Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois Simon Wells,50321
Flushed Away,Adventure Animation Comedy Family london england underworld return ship frog Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy David Bowers,11619
Pan,Adventure Family Fantasy flying magic fairy tale peter pan mermaid Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried Joe Wright,266647
Mr. Peabody & Sherman,Animation Adventure Family father son relationship egypt intelligence adoption time travel Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper Rob Minkoff,82703
Troy,Adventure Drama War brother brother relationship adultery mythology beauty trojan war Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean Wolfgang Petersen,652
Madagascar 3: Europe's Most Wanted,Animation Family madagascar 3d Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock Conrad Vernon,80321
Die Another Day,Adventure Action Thriller laser british secret service secret service agent space based weapon Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens Lee Tamahori,36669
Ghostbusters,Action Fantasy Comedy female friendship ghost hunting reboot ghost Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth Paul Feig,43074
Armageddon,Action Thriller Science Fiction Adventure saving the world paris moon cataclysm asteroid Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton Michael Bay,95
Men in Black II,Action Adventure Comedy Science Fiction saving the world secret identity sun glasses undercover space marine Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville Barry Sonnenfeld,608
Beowulf,Adventure Action Animation denmark nordic mythology lie pride and vanity folk hero Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich Robert Zemeckis,2310
Kung Fu Panda 3,Action Adventure Animation Comedy Family china martial arts kung fu village panda Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons Jennifer Yuh Nelson,140300
Mission: Impossible - Ghost Protocol,Action Thriller Adventure fight sequel mission explosion broken arm Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor Brad Bird,56292
Rise of the Guardians,Fantasy Animation Family dream santa claus nightmare easter bunny tooth fairy Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman Peter Ramsey,81188
Fun with Dick and Jane,Comedy based on novel desperation robber hold-up robbery remake Jim Carrey T\u00e9a Leoni Alec Baldwin Richard Jenkins Angie Harmon Dean Parisot,7552
The Last Samurai,Drama Action War History japan war crimes sense of guilt swordplay general Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly Edward Zwick,616
Exodus: Gods and Kings,Adventure Drama Action moses bible ancient egypt 3d ramses Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn Ridley Scott,147441
